origin,date,temp,dewp,wind_dir,wind_speed,wind_gust,precipitation,amount_precipitation,visibility,pressure
EWR,2017-01-01T01:00:00Z,6,-4,210,9,18,None,0,10,29.94
EWR,2017-01-01T02:00:00Z,6,-4,200,9,0,None,0,10,29.92
EWR,2017-01-01T03:00:00Z,6,-4,200,10,0,None,0,10,29.91
EWR,2017-01-01T04:00:00Z,6,-4,230,10,0,None,0,10,29.91
EWR,2017-01-01T05:00:00Z,7,-4,220,10,0,None,0,10,29.89
EWR,2017-01-01T06:00:00Z,7,-4,210,13,18,None,0,10,29.89
EWR,2017-01-01T07:00:00Z,6,-3,230,9,0,Rain,0,10,29.9
EWR,2017-01-01T08:00:00Z,6,-3,220,7,0,None,0,10,29.91
EWR,2017-01-01T09:00:00Z,6,-4,230,9,0,None,0,10,29.94
EWR,2017-01-01T10:00:00Z,6,-4,230,10,0,None,0,10,29.96
EWR,2017-01-01T11:00:00Z,5,-4,230,10,0,None,0,10,30
EWR,2017-01-01T12:00:00Z,4,-4,220,11,0,None,0,10,30.03
EWR,2017-01-01T13:00:00Z,4,-3,220,8,0,None,0,10,30.06
EWR,2017-01-01T14:00:00Z,7,-3,230,10,0,None,0,10,30.11
EWR,2017-01-01T15:00:00Z,8,-4,290,11,0,None,0,10,30.14
EWR,2017-01-01T16:00:00Z,9,-4,300,13,0,None,0,10,30.17
EWR,2017-01-01T17:00:00Z,9,-4,320,9,18,None,0,10,30.18
EWR,2017-01-01T18:00:00Z,9,-6,310,9,18,None,0,10,30.18
EWR,2017-01-01T19:00:00Z,10,-8,300,10,20,None,0,10,30.19
EWR,2017-01-01T20:00:00Z,10,-8,300,9,0,None,0,10,30.22
EWR,2017-01-01T21:00:00Z,9,-8,310,8,0,None,0,10,30.26
EWR,2017-01-01T22:00:00Z,8,-8,310,7,0,None,0,10,30.3
EWR,2017-01-01T23:00:00Z,7,-8,340,8,0,None,0,10,30.32
EWR,2017-01-02T00:00:00Z,5,-8,30,5,0,None,0,10,30.35
EWR,2017-01-02T01:00:00Z,6,-7,60,3,0,None,0,10,30.38
EWR,2017-01-02T02:00:00Z,4,-7,40,4,0,None,0,10,30.4
EWR,2017-01-02T03:00:00Z,3,-7,20,3,0,None,0,10,30.43
EWR,2017-01-02T04:00:00Z,2,-6,30,5,0,None,0,10,30.43
EWR,2017-01-02T05:00:00Z,2,-6,20,4,0,None,0,10,30.42
EWR,2017-01-02T06:00:00Z,1,-6,30,5,0,None,0,10,30.43
EWR,2017-01-02T07:00:00Z,2,-5,40,4,0,None,0,10,30.44
EWR,2017-01-02T08:00:00Z,2,-4,30,7,0,None,0,10,30.44
EWR,2017-01-02T09:00:00Z,1,-4,20,4,0,None,0,10,30.46
EWR,2017-01-02T10:00:00Z,1,-3,10,6,0,None,0,10,30.47
EWR,2017-01-02T11:00:00Z,2,-3,20,5,0,None,0,10,30.48
EWR,2017-01-02T12:00:00Z,2,-3,20,7,0,Rain,0,10,30.48
EWR,2017-01-02T13:00:00Z,2,-1,20,7,0,Rain,0.01,10,30.48
EWR,2017-01-02T14:00:00Z,2,0,20,6,0,Rain,0.02,9,30.49
EWR,2017-01-02T15:00:00Z,3,0,20,10,0,Rain,0,10,30.5
EWR,2017-01-02T16:00:00Z,4,2,20,7,0,Rain,0,8,30.48
EWR,2017-01-02T17:00:00Z,6,3,70,5,0,Rain,0.01,8,30.45
EWR,2017-01-02T18:00:00Z,6,3,60,6,0,Rain,0.01,8,30.42
EWR,2017-01-02T19:00:00Z,4,3,30,9,0,Rain,0.02,5,30.4
EWR,2017-01-02T20:00:00Z,5,4,30,8,0,Rain,0.04,5,30.4
EWR,2017-01-02T21:00:00Z,5,3,50,11,0,Rain,0.01,4,30.4
EWR,2017-01-02T22:00:00Z,4,3,50,8,0,Rain,0.04,3,30.39
EWR,2017-01-02T23:00:00Z,4,3,40,8,0,Rain,0.03,3,30.38
EWR,2017-01-03T00:00:00Z,4,3,20,10,0,Rain,0.01,3,30.37
EWR,2017-01-03T01:00:00Z,4,3,20,10,0,Rain,0.01,3,30.35
EWR,2017-01-03T02:00:00Z,4,3,30,12,0,Drizzle,0,5,30.31
EWR,2017-01-03T03:00:00Z,4,3,40,8,0,Drizzle,0,6,30.29
EWR,2017-01-03T04:00:00Z,4,3,30,10,0,Rain,0.03,0.5,30.3
EWR,2017-01-03T05:00:00Z,4,3,40,11,0,Rain,0.04,3,30.26
EWR,2017-01-03T06:00:00Z,4,3,40,10,0,Rain,0.03,5,30.22
EWR,2017-01-03T07:00:00Z,4,3,40,11,0,Rain,0,4,30.22
EWR,2017-01-03T08:00:00Z,4,3,30,11,0,Rain,0.01,3,30.19
EWR,2017-01-03T09:00:00Z,4,3,20,12,0,Rain,0.01,3,30.15
