tailnum,Year built
N12754,2002
N17753,2002
N195SY,2017
N2644U,2017
N283AK,2017
N323FR,2017
N324FR,2017
N33292,2004
N466UA,2000
N651NK,2017
N652NK,2017
N670UA,1999
N73278,2003
N76503,2006
N76505,2006
N7862A,2005
N833AA,2017
N86534,2016
N889UA,2006
N890UA,2006
N891UA,2006
N892UA,2006
N893UA,2006
N894UA,2006
N896UA,2007
N923VA,2017
N925VA,2017
N111AA,
N118AA,
N14558,
N15555,
N15574,
N18557,
N194SY,
N238JB,2006
N251AK,2016
N271LV,1998
N298WN,2007
N299WN,2007
N326DN,
N331NB,2001
N345NB,2002
N377AA,
N389HA,2012
N503NK,2005
N527AS,2009
N528AA,
N53441,2009
N604NK,2010
N625NK,2014
N729JB,2008
N752EV,
N75426,2008
N755EV,
N76514,2008
N767SW,2000
N7812G,2001
N7816B,1999
N7830A,1999
N794AA,
N799SW,1998
N801AA,
N813NW,2006
N8303R,2012
N841VA,2011
N850DN,2015
N8606C,2013
N8707P,
N871DN,2017
N876DN,2017
N878DA,
N881AA,
N905AA,
N920DN,1997
N921DN,2000
N922DX,1988
N923DN,1999
N924DN,1998
N925DN,2000
N926DH,1998
N926WN,2008
N927WN,2008
N928DN,1999
N928WN,2008
N937DN,
N950DN,1997
N953DN,1996
N971JB,
N983AT,2005
N984JB,
N986JB,
N987JB,
N991AT,2009
